"Openbare bibliotheken"
""
"";"";"Periods"
"Subject";"";"2005, excluding provincial organisations";"2006, excluding provincial organisations";"2007, excluding provincial organisations";"2008, excluding provincial organizations";"2009, excluding provincial organisations";"2010, excluding provincial organizations";"2011, excluding provincial organisations";"2012, excluding provincial organisations";"2013, excluding provincial organisations";"2014, excluding provincial organisations";"2015, excluding provincial organisations";"2016, excluding provincial organisations";"2017, excluding provincial organisations";"2018, excluding provincial organisations";"2019, excluding provincial organisations";"2020, excluding provincial organizations";"2021, excluding provincial organisations";"2022, excluding provincial organisations*"
"Uitleningen|Audiovisuele materialen|Totaal audiovisuele materialen";"x 1 000";"6020";"5644";"5599";"5433";"6211";"6450";"6768";"6942";"6536";"6880";"5217";"4554";"4017";"3222";"2672";"1485";"943";"1012"
"Uitleningen|Audiovisuele materialen|Muziek Cd's";"x 1 000";"2312";"1947";"1736";"1544";"1533";"1420";"1335";"1220";"966";"832";"667";"16°";"443";"337";"322";"103";"73";"80"
"Uitleningen|Audiovisuele materialen|Dvd's";"x 1 000";"2622";"2788";"3051";"3047";"3346";"3799";"4194";"4644";"4634";"5118";"3793";"3356";"2848";"2397";"2005";"1177";"730";"795"
"Uitleningen|Audiovisuele materialen|Cd-rom's, Cd-I's";"x 1 000";"733";"570";"476";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Uitleningen|Audiovisuele materialen|Andere audiovisuele middelen";"x 1 000";"353";"339";"336";"841";"1332";"1231";"1239";"1078";"936";"930";"756";"634";"725";"488";"345";"205";"141";"136"
"Uitleningen|Losse tijdschriften";"x 1 000";"5135";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Uitleningen|Overig uitleningen";"x 1 000";"880";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Ingeschreven gebruikers|Totaal ingeschreven gebruikers";"x 1 000";"4039";"4001";"4011";"3969";"4027";"3996";"4009";"3970";"3858";"3784";"3784";"3716";"3704";"3655";"3620";"3492";"3330";"3442"
"Ingeschreven gebruikers|Jeugd";"x 1 000";"1976";"2003";"2053";"2052";"2079";"2113";"2189";"2230";"2238";"2257";"2306";"2306";"2331";"2301";"2297";"2230";"2090";"2177"
"Ingeschreven gebruikers|Volwassenen";"x 1 000";"2063";"1998";"1958";"1917";"1948";"1883";"1820";"1740";"1620";"1527";"1478";"1410";"1373";"1355";"1323";"1262";"1240";"1265"
"Bibliotheken naar contributietarief|Totaal bibliotheken";"number";"341";"238";"202";"194";"171";"166";"163";"162";"160";"157";"156";"154";"149";"146";"145";"140";"139";"137"
"Bibliotheken naar contributietarief|Contributietarief tot 15 euro";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bibliotheken naar contributietarief|Contributietarief 15 tot 20 euro";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bibliotheken naar contributietarief|Contributietarief 20 tot 25 euro";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bibliotheken naar contributietarief|Contributietarief 25 euro en meer";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bibliotheken naar contributietarief|Geen gewoon contributietarief";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Totaal bezoldigd personeel|Totaal personen";"number";".";"9010";"9080";"9110";"9060";"8970";"8340";"7870";"6695";"6841";"6813";"6639";"6682";"6743";"6908";"6851";"7030";"7535"
"Personeel|Totaal bezoldigd personeel|Aantal fulltimers";"number";".";"970";"940";".";"950";"920";"860";"801";"727";"719";"740";"712";"704";"694";"667";"685";"695";"741"
"Personeel|Totaal bezoldigd personeel|Aantal parttimers";"number";".";"8030";"8140";".";"8110";"8050";"7480";"7069";"5968";"6122";"6073";"5927";"5978";"6049";"6241";"6166";"6335";"6794"
"Personeel|Totaal bezoldigd personeel|Totaal arbeidsjaren";"number";".";"5180";"5220";"5210";"5220";"5190";"5030";"4730";"4003";"4073";"4143";"4076";"4193";"4213";"4251";"4228";"4423";"4626"
"Personeel|Personeel in loondienst|Totaal personen";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel in loondienst|Aantal fulltimers";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel in loondienst|Aantal parttimers";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel in loondienst|Totaal arbeidsjaren";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel niet in loondienst|Totaal personen";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel niet in loondienst|Aantal fulltimers";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel niet in loondienst|Aantal parttimers";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Personeel|Personeel niet in loondienst|Totaal arbeidsjaren";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
